,VISIT_ID,TAG
0,2,"SNS 인생샷 여행, 자연, 자연관광지"
1,3,"테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 온천/스파, 드라마 촬영지 방문, 종교/성지 순례, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 자연, 산책로, 둘레길 등"
2,4,"시티투어, 지역 문화예술/공연/전시시설 관람, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 익숙한 지역, 체험 활동 관광지"
3,5,
4,7,
5,8,"역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 신규 여행지 발굴, 새로운 지역, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
6,9,
7,11,"역사 유적지 방문, 지역 축제/이벤트 참가, SNS 인생샷 여행, 자연관광지"
8,13,"레저/스포츠 관련 시설(스키, 카트, 수상레저)"
9,14,"쇼핑, SNS 인생샷 여행, 호캉스 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 지역축제, 행사"
10,16,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 호캉스 여행, 문화시설(공연장, 영화관, 전시관 등)"
11,19,"문화시설(공연장, 영화관, 전시관 등)"
12,20,"야외 스포츠, 레포츠 활동, 교육/체험 프로그램 참가, SNS 인생샷 여행, 호캉스 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
13,22,"Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 자연, 자연관광지"
14,23,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 축제/이벤트 참가, 종교/성지 순례, 신규 여행지 발굴, 자연, 지역축제, 행사"
15,24,"역사 유적지 방문, 캠핑, SNS 인생샷 여행, 자연관광지"
16,25,
17,26,"테마파크, 놀이시설, 동/식물원 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 호캉스 여행, 신규 여행지 발굴, 상업지구(거리, 시장, 쇼핑시설)"
18,27,
19,28,"문화시설(공연장, 영화관, 전시관 등)"
20,29,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 상황에 따른 여행, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
21,30,"테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 자연, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
22,31,"쇼핑, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 상업지구(거리, 시장, 쇼핑시설)"
23,33,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 야외 스포츠, 레포츠 활동, SNS 인생샷 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
24,35,
25,36,
26,37,
27,39,"야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 호캉스 여행, 인플루언서 따라하기 여행, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
28,41,
29,42,"역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 캠핑, 지역 축제/이벤트 참가, 자연, 자연관광지"
30,44,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 드라마 촬영지 방문, SNS 인생샷 여행, 신규 여행지 발굴, 자연, 문화시설(공연장, 영화관, 전시관 등)"
31,45,
32,47,자연관광지
33,48,"테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 교육/체험 프로그램 참가, SNS 인생샷 여행, 신규 여행지 발굴, 문화시설(공연장, 영화관, 전시관 등)"
34,49,"온천/스파, SNS 인생샷 여행, 호캉스 여행, 친환경 여행(플로깅 여행), 상황에 따른 여행, 자연관광지"
35,50,
36,51,"역사 유적지 방문, SNS 인생샷 여행, 알려지지 않은 방문지, 산책로, 둘레길 등"
37,52,"온천/스파, SNS 인생샷 여행, 자연, 체험 활동 관광지"
38,53,"야외 스포츠, 레포츠 활동, 지역 축제/이벤트 참가, 교육/체험 프로그램 참가, Well-ness 여행, SNS 인생샷 여행, 자연, 산책로, 둘레길 등"
39,54,
40,55,"유흥/오락(나이트라이프), 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
41,57,"시티투어, 지역 축제/이벤트 참가, SNS 인생샷 여행, 인플루언서 따라하기 여행, 도시, 자연관광지"
42,62,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 교육/체험 프로그램 참가, 자연, 체험 활동 관광지"
43,63,"쇼핑, 교육/체험 프로그램 참가, SNS 인생샷 여행, 체험 활동 관광지"
44,65,"시티투어, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 도시, 체험 활동 관광지"
45,66,
46,67,"쇼핑, 시티투어, SNS 인생샷 여행, 호캉스 여행, 신규 여행지 발굴, 새로운 지역, 체험 활동 관광지"
