,VISIT_ID,TAG
0,1,"캠핑, 지역 축제/이벤트 참가, Well-ness 여행, 신규 여행지 발굴, 자연, 지역축제, 행사"
1,2,"쇼핑, 시티투어, SNS 인생샷 여행, 친환경 여행(플로깅 여행), 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
2,3,
3,4,"상업지구(거리, 시장, 쇼핑시설)"
4,5,"테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 인플루언서 따라하기 여행, 상황에 따른 여행, 체험 활동 관광지"
5,7,
6,8,"SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 자연, 테마시설(놀이공원, 워터파크)"
7,11,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역축제, 행사"
8,12,"쇼핑, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 자연, 지역축제, 행사"
9,13,"지역 문화예술/공연/전시시설 관람, 테마시설(놀이공원, 워터파크)"
10,18,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 야외 스포츠, 레포츠 활동, 교육/체험 프로그램 참가, 자연, 상업지구(거리, 시장, 쇼핑시설)"
11,23,
12,25,"야외 스포츠, 레포츠 활동, SNS 인생샷 여행, 호캉스 여행, 도시, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
13,26,
14,27,"쇼핑, 역사 유적지 방문, SNS 인생샷 여행, 호캉스 여행, 새로운 지역, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
15,28,"호캉스 여행, 신규 여행지 발굴, 자연, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
16,29,
17,30,
18,31,"시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 상업지구(거리, 시장, 쇼핑시설)"
19,32,"테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 휴양/휴식, 문화시설(공연장, 영화관, 전시관 등)"
20,33,"시티투어, 유흥/오락(나이트라이프), 호캉스 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
21,38,
22,39,
23,40,
24,41,"시티투어, 호캉스 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
25,42,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 지역 축제/이벤트 참가, SNS 인생샷 여행, 호캉스 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
26,43,
27,45,"역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), SNS 인생샷 여행, 문화시설(공연장, 영화관, 전시관 등)"
28,46,"역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 지역 축제/이벤트 참가, SNS 인생샷 여행, 문화시설(공연장, 영화관, 전시관 등)"
