,VISIT_ID,TAG
0,1,"역사 유적지 방문, 온천/스파, Well-ness 여행, SNS 인생샷 여행, 자연, 테마시설(놀이공원, 워터파크)"
1,2,
2,3,"Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 인플루언서 따라하기 여행, 도시, 체험 활동 관광지"
3,4,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 교육/체험 프로그램 참가, 도시, 체험 활동 관광지"
4,5,
5,6,
6,7,"캠핑, 문화시설(공연장, 영화관, 전시관 등)"
7,9,
8,10,
9,11,
10,12,
11,14,
12,15,"시티투어, 신규 여행지 발굴, 자연, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
13,16,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, Well-ness 여행, 체험 활동 관광지"
14,18,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 지역 축제/이벤트 참가, 자연, 체험 활동 관광지"
15,19,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, SNS 인생샷 여행, 테마시설(놀이공원, 워터파크)"
16,20,"쇼핑, 시티투어, 유흥/오락(나이트라이프), 온천/스파, 호캉스 여행, 상업지구(거리, 시장, 쇼핑시설)"
17,21,
18,22,
19,23,"야외 스포츠, 레포츠 활동, 캠핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 새로운 지역, 체험 활동 관광지"
20,24,
21,25,
22,26,"상업지구(거리, 시장, 쇼핑시설)"
23,27,
24,28,"쇼핑, 시티투어, SNS 인생샷 여행, 알려지지 않은 방문지, 문화시설(공연장, 영화관, 전시관 등)"
25,29,"쇼핑, 시티투어, 유흥/오락(나이트라이프), 도시, 문화시설(공연장, 영화관, 전시관 등)"
26,30,"쇼핑, 시티투어, 캠핑, 지역 축제/이벤트 참가, 새로운 지역, 상업지구(거리, 시장, 쇼핑시설)"
27,31,
28,32,"캠핑, SNS 인생샷 여행, 신규 여행지 발굴, 자연, 문화시설(공연장, 영화관, 전시관 등)"
29,33,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 익숙한 지역, 문화시설(공연장, 영화관, 전시관 등)"
30,34,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, SNS 인생샷 여행, 신규 여행지 발굴, 상업지구(거리, 시장, 쇼핑시설)"
31,35,"Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 문화시설(공연장, 영화관, 전시관 등)"
32,36,"쇼핑, 역사 유적지 방문, 시티투어, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 문화시설(공연장, 영화관, 전시관 등)"
33,38,"쇼핑, 야외 스포츠, 레포츠 활동, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
34,39,"쇼핑, 사진촬영 중요, 상업지구(거리, 시장, 쇼핑시설)"
35,40,"역사 유적지 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 상업지구(거리, 시장, 쇼핑시설)"
36,41,"역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
37,42,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 캠핑, 교육/체험 프로그램 참가, 익숙한 지역, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
38,43,
39,44,"지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 사진촬영 중요, 문화시설(공연장, 영화관, 전시관 등)"
40,46,"쇼핑, 지역 문화예술/공연/전시시설 관람, 문화시설(공연장, 영화관, 전시관 등)"
41,48,
42,49,
43,50,
44,51,"쇼핑, 시티투어, SNS 인생샷 여행, 호캉스 여행, 문화시설(공연장, 영화관, 전시관 등)"
45,52,"문화시설(공연장, 영화관, 전시관 등)"
46,53,
47,54,"역사 유적지 방문, Well-ness 여행, 신규 여행지 발굴, 자연, 테마시설(놀이공원, 워터파크)"
48,55,"역사 유적지 방문, SNS 인생샷 여행, 자연, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
49,56,
50,57,
51,59,"역사 유적지 방문, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 반려동물 동반 여행, 자연, 레저/스포츠 관련 시설(스키, 카트, 수상레저)"
52,61,
53,64,
54,65,"역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 도시, 상업지구(거리, 시장, 쇼핑시설)"
55,66,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 온천/스파, Well-ness 여행, 문화시설(공연장, 영화관, 전시관 등)"
56,68,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 인플루언서 따라하기 여행, 자연관광지"
