,VISIT_ID,TAG
0,1,"쇼핑, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 새로운 지역, 문화시설(공연장, 영화관, 전시관 등)"
1,2,"호캉스 여행, 휴양/휴식, 문화시설(공연장, 영화관, 전시관 등)"
2,3,"시티투어, 드라마 촬영지 방문, 사진촬영 중요, 산책로, 둘레길 등"
3,4,
4,7,"교육/체험 프로그램 참가, 휴양/휴식, 상업지구(거리, 시장, 쇼핑시설)"
5,8,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 상업지구(거리, 시장, 쇼핑시설)"
6,9,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 드라마 촬영지 방문, SNS 인생샷 여행, 지역축제, 행사"
7,11,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 인플루언서 따라하기 여행, 자연, 지역축제, 행사"
8,13,
9,14,"쇼핑, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, Well-ness 여행, 새로운 지역, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
10,15,"시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), Well-ness 여행, 인플루언서 따라하기 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
11,16,"쇼핑, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 새로운 지역, 문화시설(공연장, 영화관, 전시관 등)"
12,17,"테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 알려지지 않은 방문지, 문화시설(공연장, 영화관, 전시관 등)"
13,18,"테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 알려지지 않은 방문지, 문화시설(공연장, 영화관, 전시관 등)"
14,19,
15,20,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람, 드라마 촬영지 방문, SNS 인생샷 여행, 새로운 지역, 상업지구(거리, 시장, 쇼핑시설)"
16,21,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, SNS 인생샷 여행, 호캉스 여행, 새로운 지역, 휴양/휴식, 상업지구(거리, 시장, 쇼핑시설)"
17,22,"쇼핑, 상업지구(거리, 시장, 쇼핑시설)"
18,23,
19,24,"쇼핑, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 상업지구(거리, 시장, 쇼핑시설)"
20,26,
21,27,"쇼핑, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프), 드라마 촬영지 방문, SNS 인생샷 여행, 자연, 상업지구(거리, 시장, 쇼핑시설)"
22,28,"SNS 인생샷 여행, 새로운 지역, 자연관광지"
23,29,"Well-ness 여행, 휴양/휴식, 상업지구(거리, 시장, 쇼핑시설)"
24,31,
25,32,"역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 드라마 촬영지 방문, 문화시설(공연장, 영화관, 전시관 등)"
26,33,"Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 자연, 문화시설(공연장, 영화관, 전시관 등)"
27,34,"테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
28,36,"쇼핑, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프), 지역 축제/이벤트 참가, 드라마 촬영지 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 새로운 지역, 상업지구(거리, 시장, 쇼핑시설)"
29,37,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 호캉스 여행, 인플루언서 따라하기 여행, 도시, 문화시설(공연장, 영화관, 전시관 등)"
30,38,"쇼핑, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 사진촬영 중요, 문화시설(공연장, 영화관, 전시관 등)"
31,39,"쇼핑, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 새로운 지역, 문화시설(공연장, 영화관, 전시관 등)"
32,40,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 익숙한 지역, 문화시설(공연장, 영화관, 전시관 등)"
33,41,"쇼핑, 교육/체험 프로그램 참가, SNS 인생샷 여행, 알려지지 않은 방문지, 문화시설(공연장, 영화관, 전시관 등)"
34,42,"쇼핑, 지역 문화예술/공연/전시시설 관람, 문화시설(공연장, 영화관, 전시관 등)"
35,44,"쇼핑, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 새로운 지역, 문화시설(공연장, 영화관, 전시관 등)"
36,47,"쇼핑, 휴양/휴식, 문화시설(공연장, 영화관, 전시관 등)"
37,48,"테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 친환경 여행(플로깅 여행), 문화시설(공연장, 영화관, 전시관 등)"
38,49,"쇼핑, 시티투어, 유흥/오락(나이트라이프), SNS 인생샷 여행, 호캉스 여행, 신규 여행지 발굴, 새로운 지역, 테마시설(놀이공원, 워터파크)"
39,50,"쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 온천/스파, 자연, 문화시설(공연장, 영화관, 전시관 등)"
40,51,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 산책로, 둘레길 등"
41,52,"지역 문화예술/공연/전시시설 관람, 체험 활동 관광지"
42,53,
43,54,"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 호캉스 여행, 체험 활동 관광지"
44,56,"쇼핑, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 자연, 문화시설(공연장, 영화관, 전시관 등)"
45,57,
46,59,
47,61,"야외 스포츠, 레포츠 활동, 자연, 상업지구(거리, 시장, 쇼핑시설)"
48,63,
49,67,
50,68,"쇼핑, 상업지구(거리, 시장, 쇼핑시설)"
51,70,"테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, Well-ness 여행, SNS 인생샷 여행, 자연, 역사/유적/종교 시설 (문화재, 박물관, 촬영지, 절 등)"
